,api,knowledge_type,post_id,cleaned_post,creation_date
79,BigDecimal,functionality,76814327,"Assuming that you want to keep all the significant digits you should use BigDecimal to do the conversion and transformation without missing information:

Output:

valueOf() is needed to create a BigDecimal from a floating point type without representation errors. intValueExact() will throw an exception if the result is out of range for an int.
Note that this solution keeps the 5 at the end of the number unlike your example.
",1690914491
80,BigDecimal,concept,66396834,"Xml:

Kotlin:

",1614413494
81,BigDecimal,concept,62829880,"Here is the kotlin code

",1594368500
82,BigDecimal,concept,61137291,"example for Kotlin

",1586510288
83,BigDecimal,concept,59944261,"if use kotlin

",1580197941
84,BigDecimal,concept,56920232,"Using kotlin Int class will do

",1562485438
85,BigDecimal,concept,65687675,"
or for custom classes use

",1610467924
86,BigDecimal,concept,69732541,"As per the BigDecimal docs, BigDecimal extends Number which implements Serializable, which means it is supported just like any other Serializable type in Navigation, as per the table you linked.

",1635306641
87,BigDecimal,concept,57637304,"Here how can you use that in Kotlin

",1566644214
88,BigDecimal,concept,72599846,"In Kotlin API interface:

",1655109097
89,BigDecimal,concept,63789514,"Kotlin:

",1599551697
90,BigDecimal,performance,66396834,"Xml:

Kotlin:

",1614413494
91,BigDecimal,performance,62829880,"Here is the kotlin code

",1594368500
92,BigDecimal,performance,59944261,"if use kotlin

",1580197941
93,BigDecimal,performance,61137291,"example for Kotlin

",1586510288
94,BigDecimal,performance,56920232,"Using kotlin Int class will do

",1562485438
95,BigDecimal,performance,65687675,"
or for custom classes use

",1610467924
96,BigDecimal,performance,57637304,"Here how can you use that in Kotlin

",1566644214
97,BigDecimal,performance,73232094,"
and with timerTask kotlin


",1659598896
98,BigDecimal,performance,72599846,"In Kotlin API interface:

",1655109097
99,BigDecimal,performance,63789514,"Kotlin:

",1599551697
100,BigDecimal,directive,66396834,"Xml:

Kotlin:

",1614413494
101,BigDecimal,directive,59944261,"if use kotlin

",1580197941
102,BigDecimal,directive,62829880,"Here is the kotlin code

",1594368500
103,BigDecimal,directive,61137291,"example for Kotlin

",1586510288
104,BigDecimal,directive,56920232,"Using kotlin Int class will do

",1562485438
105,BigDecimal,directive,57637304,"Here how can you use that in Kotlin

",1566644214
106,BigDecimal,directive,65687675,"
or for custom classes use

",1610467924
107,BigDecimal,directive,73232094,"
and with timerTask kotlin


",1659598896
108,BigDecimal,directive,72599846,"In Kotlin API interface:

",1655109097
109,BigDecimal,directive,63789514,"Kotlin:

",1599551697
110,BigDecimal,pattern,66396834,"Xml:

Kotlin:

",1614413494
111,BigDecimal,pattern,59944261,"if use kotlin

",1580197941
112,BigDecimal,pattern,61137291,"example for Kotlin

",1586510288
113,BigDecimal,pattern,62829880,"Here is the kotlin code

",1594368500
114,BigDecimal,pattern,65687675,"
or for custom classes use

",1610467924
115,BigDecimal,pattern,57637304,"Here how can you use that in Kotlin

",1566644214
116,BigDecimal,pattern,56920232,"Using kotlin Int class will do

",1562485438
117,BigDecimal,pattern,60777236,"Use Unit as generic Type

",1584718786
118,BigDecimal,pattern,75321473,"use weight

",1675332252
119,BigDecimal,pattern,72599846,"In Kotlin API interface:

",1655109097
120,BigDecimal,environment,66396834,"Xml:

Kotlin:

",1614413494
121,BigDecimal,environment,62829880,"Here is the kotlin code

",1594368500
122,BigDecimal,environment,61137291,"example for Kotlin

",1586510288
123,BigDecimal,environment,59944261,"if use kotlin

",1580197941
124,BigDecimal,environment,65687675,"
or for custom classes use

",1610467924
125,BigDecimal,environment,57637304,"Here how can you use that in Kotlin

",1566644214
126,BigDecimal,environment,56920232,"Using kotlin Int class will do

",1562485438
127,BigDecimal,environment,72599846,"In Kotlin API interface:

",1655109097
128,BigDecimal,environment,73232094,"
and with timerTask kotlin


",1659598896
129,BigDecimal,environment,63789514,"Kotlin:

",1599551697
130,BigDecimal,alternative,66396834,"Xml:

Kotlin:

",1614413494
131,BigDecimal,alternative,61137291,"example for Kotlin

",1586510288
132,BigDecimal,alternative,59944261,"if use kotlin

",1580197941
133,BigDecimal,alternative,62829880,"Here is the kotlin code

",1594368500
134,BigDecimal,alternative,69732541,"As per the BigDecimal docs, BigDecimal extends Number which implements Serializable, which means it is supported just like any other Serializable type in Navigation, as per the table you linked.

",1635306641
135,BigDecimal,alternative,65687675,"
or for custom classes use

",1610467924
136,BigDecimal,alternative,57637304,"Here how can you use that in Kotlin

",1566644214
